Codigo Nacional,Nombre,Lat,Lon,Ubicacion,Latitud,Longitud,Distancia_km
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región Metropolitana,-33.45,-70.6667,1435.31
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Ñuble,-36.6,-72.1,1794.46
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Limarí,-30.7,-71.3,1134.26
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Limache,-33.0167,-71.2667,1390.48
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Arica y Parinacota,-18.5,-69.75,232.29
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia del Elquí,-30.0,-70.9,1053.36
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Coquimbo,-29.95,-71.34,1051.78
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Curicó,-34.9833,-71.2333,1608.31
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Linares,-35.85,-71.6,1706.98
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Diguillín,-36.75,-72.1,1811.03
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Carahue,-38.7,-73.1667,2038.47
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región del Maule,-35.4,-71.7,1657.99
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de O'Higgins,-34.6,-71.3,1566.23
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Talca,-35.4333,-71.6667,1661.39
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Chacabuco,-33.2833,-70.7,1416.9
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de San Felipe de Aconcagua,-32.75,-70.7,1357.64
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Valparaíso,-33.05,-71.6167,1397.26
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Melipilla,-33.7,-71.2,1465.75
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Petorca,-32.25,-70.9333,1303.22
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de La Araucanía,-38.75,-72.6,2037.07
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Talagante,-33.6667,-70.9333,1460.49
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Santiago,-33.45,-70.6667,1435.31
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Paine,-33.8167,-70.75,1476.35
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Huasco,-28.5,-71.25,890.66
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Copiapó,-27.37,-70.33,758.59
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Cabildo,-32.4333,-71.0833,1324.48
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Cautín,-38.7333,-72.6,2035.23
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Quillón,-36.7333,-72.4667,1813.19
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Illapel,-31.6333,-71.1667,1236.4
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región del Bíobío,-37.45,-72.3,1890.39
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Valle de Camiña,-19.3167,-69.5333,152.86
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Hijuelas,-32.8,-71.15,1365.6
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Colchagua,-34.58,-70.99,1562.17
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Los Andes,-32.8333,-70.6,1366.56
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Llanquihue,-41.25,-73.0,2317.13
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Maipo,-33.6667,-70.75,1459.68
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Cachapoal,-34.3,-70.9,1530.65
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Región de Los Lagos,-41.5,-73.0,2344.7
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Arauco,-37.25,-73.3333,1881.89
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Llay Llay,-32.85,-70.9333,1369.82
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Angol,-37.8,-72.7,1933.5
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia del Biobío,-37.5,-71.9,1892.14
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Ñuble,-36.6,-72.1,1794.46
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Ovalle-Copiapó,-30.6,-71.2,1122.24
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Valle de Huasco,-28.5,-71.2,890.06
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Pan de Azúcar,-29.8,-71.25,1034.23
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,La Ligua,-32.45,-71.23,1327.4
200006,Diego Aracena Iquique Ap.,-20.54917,-70.18111,Provincia de Calama,-22.4667,-68.9333,249.25
